iter	Passed	Remaining
0	137	27459
1	138	13754
2	140	9226
3	141	6929
4	142	5547
5	143	4626
6	143	3963
7	144	3466
8	145	3080
9	145	2771
10	146	2519
11	147	2308
12	148	2129
13	149	1981
14	150	1850
15	150	1735
16	151	1633
17	152	1542
18	153	1460
19	154	1386
20	154	1319
21	155	1257
22	156	1200
23	156	1148
24	157	1101
25	157	1057
26	158	1016
27	159	979
28	159	943
29	160	910
30	161	878
31	161	849
32	162	821
33	162	795
34	163	772
35	165	752
36	165	730
37	166	709
38	167	689
39	167	670
40	168	652
41	168	634
42	169	618
43	169	602
44	170	587
45	171	573
46	171	559
47	172	545
48	173	533
49	173	520
50	174	508
51	174	497
52	175	486
53	175	475
54	176	465
55	177	455
56	177	445
57	178	436
58	179	429
59	180	421
60	181	412
61	181	404
62	182	396
63	183	389
64	183	381
65	184	374
66	184	367
67	185	360
68	186	353
69	186	346
70	187	340
71	188	334
72	188	328
73	189	322
74	189	316
75	190	310
76	190	305
77	191	299
78	192	294
79	192	289
80	193	284
81	194	280
82	195	275
83	195	270
84	196	265
85	197	261
86	197	257
87	198	252
88	199	248
89	199	244
90	200	239
91	200	235
92	201	231
93	202	227
94	202	223
95	203	220
96	203	216
97	204	212
98	204	209
99	205	205
100	206	202
101	206	198
102	207	195
103	208	192
104	209	189
105	209	186
106	210	183
107	211	180
108	212	176
109	212	174
110	213	170
111	213	168
112	214	165
113	215	162
114	215	159
115	216	156
116	217	153
117	217	151
118	218	148
119	218	145
120	219	143
121	219	140
122	220	138
123	221	135
124	221	133
125	222	130
126	223	128
127	224	126
128	225	124
129	226	121
130	226	119
131	227	117
132	227	114
133	228	112
134	229	110
135	229	108
136	230	106
137	231	103
138	231	101
139	232	99
140	233	97
141	233	95
142	234	93
143	234	91
144	235	89
145	236	87
146	236	85
147	237	83
148	237	81
149	238	79
150	239	77
151	240	75
152	241	74
153	241	72
154	242	70
155	243	68
156	243	66
157	244	64
158	245	63
159	245	61
160	246	59
161	246	57
162	247	56
163	248	54
164	248	52
165	249	51
166	249	49
167	250	47
168	251	46
169	251	44
170	252	42
171	253	41
172	254	39
173	255	38
174	256	36
175	256	35
176	257	33
177	257	31
178	258	30
179	259	28
180	259	27
181	260	25
182	261	24
183	261	22
184	262	21
185	262	19
186	263	18
187	264	16
188	264	15
189	265	13
190	266	12
191	266	11
192	267	9
193	267	8
194	269	6
195	270	5
196	270	4
197	271	2
198	272	1
199	272	0
